"BOROUGH","NEIGHBORHOOD","BUILDING.CLASS.CATEGORY","TAX.CLASS.AT.PRESENT","BLOCK","LOT","EASE.MENT","BUILDING.CLASS.AT.PRESENT","ADDRESS","APARTMENT.NUMBER","ZIP.CODE","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","TAX.CLASS.AT.TIME.OF.SALE","BUILDING.CLASS.AT.TIME.OF.SALE","SALE.PRICE","SALE.DATE"
4,"BAYSIDE                  ","01  ONE FAMILY DWELLINGS                    ","1",5557,80,,"A2","200-19 46TH   ROAD                       ","            ",11361,1,0,1,3800,988,1950,1,"A2",808000,"2015-05-27"
4,"BAYSIDE                  ","01  ONE FAMILY DWELLINGS                    ","1",5791,49,,"A0","204-05 23RD AVENUE                       ","            ",11360,1,0,1,4692,975,1950,1,"A0",620000,"2016-03-02"
4,"BAYSIDE                  ","01  ONE FAMILY DWELLINGS                    ","1",5797,39,,"A1","199-41 24TH AVENUE                       ","            ",11357,1,0,1,7500,1000,1940,1,"A1",800000,"2016-01-20"
4,"BAYSIDE                  ","01  ONE FAMILY DWELLINGS                    ","1",5798,59,,"A5","199-07 24TH   ROAD                       ","            ",11357,1,0,1,2142,946,1940,1,"A5",535000,"2016-04-08"
4,"BAYSIDE                  ","01  ONE FAMILY DWELLINGS                    ","1",5799,10,,"A5","199-10 24TH   ROAD                       ","            ",11357,1,0,1,1928,856,1945,1,"A5",535000,"2015-06-12"
4,"BAYSIDE                  ","01  ONE FAMILY DWELLINGS                    ","1",5799,61,,"A5","199-13 26TH   AVENUE                     ","            ",11358,1,0,1,2124,960,1950,1,"A5",605000,"2015-07-07"
4,"BAYSIDE                  ","01  ONE FAMILY DWELLINGS                    ","1",5805,66,,"A0","23-45 205TH   STREET                     ","            ",11360,1,0,1,4320,938,1950,1,"A0",700000,"2016-04-13"
4,"BAYSIDE                  ","01  ONE FAMILY DWELLINGS                    ","1",5805,68,,"A0","23-41 205TH   STREET                     ","            ",11360,1,0,1,4320,938,1950,1,"A0",755000,"2015-12-03"
4,"BAYSIDE                  ","01  ONE FAMILY DWELLINGS                    ","1",5806,73,,"A0","23-45 206TH STREET                       ","            ",11360,1,0,1,4320,975,1945,1,"A0",710000,"2015-10-27"
4,"BAYSIDE                  ","01  ONE FAMILY DWELLINGS                    ","1",5994,73,,"A2","30-07 CORPORAL KENNEDY STR               ","            ",11360,1,0,1,4100,948,1950,1,"A2",785000,"2016-01-04"
4,"BAYSIDE                  ","01  ONE FAMILY DWELLINGS                    ","1",5998,21,,"A0","26-03 211 STREET                         ","            ",11360,1,0,1,6342,936,1955,1,"A0",750000,"2015-06-19"
4,"BAYSIDE                  ","01  ONE FAMILY DWELLINGS                    ","1",6087,46,,"A0","33-15 205TH   STREET                     ","            ",11361,1,0,1,4400,989,1950,1,"A0",728000,"2015-12-01"
4,"BAYSIDE                  ","01  ONE FAMILY DWELLINGS                    ","1",6255,18,,"A1","217-20 39 AVE                            ","            ",11361,1,0,1,2859,952,1930,1,"A1",480000,"2015-09-15"
4,"BAYSIDE                  ","01  ONE FAMILY DWELLINGS                    ","1",7310,45,,"A5","209-29 45TH   DRIVE                      ","            ",11361,1,0,1,1900,760,1945,1,"A5",550000,"2015-08-27"
4,"BAYSIDE                  ","01  ONE FAMILY DWELLINGS                    ","1",7310,57,,"A5","4545 OCEANIA STREET                      ","            ",11361,1,0,1,1995,800,1945,1,"A5",75000,"2015-12-03"
4,"BAYSIDE                  ","01  ONE FAMILY DWELLINGS                    ","1",7310,62,,"A5","45-35 OCEANIA STREET                     ","            ",11361,1,0,1,1860,760,1945,1,"A5",465000,"2015-12-29"
4,"BAYSIDE                  ","01  ONE FAMILY DWELLINGS                    ","1",7310,115,,"A5","209-42 45 ROAD                           ","            ",11361,1,0,1,1900,760,1945,1,"A5",540000,"2016-02-04"
4,"BAYSIDE                  ","01  ONE FAMILY DWELLINGS                    ","1",7377,13,,"A5","50-24 201ST STREET                       ","            ",11364,1,0,1,2500,896,1955,1,"A5",638000,"2015-11-18"
4,"BAYSIDE                  ","01  ONE FAMILY DWELLINGS                    ","1",7429,48,,"A1","56-23 FRANCIS LEWIS BOULEV               ","            ",11364,1,0,1,3880,1000,1940,1,"A1",610000,"2015-07-27"
4,"BAYSIDE                  ","01  ONE FAMILY DWELLINGS                    ","1",7435,13,,"A5","56-12 207TH   STREET                     ","            ",11364,1,0,1,2500,960,1950,1,"A5",520000,"2015-08-03"
4,"BAYSIDE                  ","01  ONE FAMILY DWELLINGS                    ","1",7436,50,,"A5","56-35 207TH   STREET                     ","            ",11364,1,0,1,2500,960,1950,1,"A5",435000,"2015-12-14"
4,"BAYSIDE                  ","01  ONE FAMILY DWELLINGS                    ","1",7436,64,,"A5","56-09 207TH   STREET                     ","            ",11364,1,0,1,2500,960,1950,1,"A5",580000,"2015-05-20"
4,"BAYSIDE                  ","01  ONE FAMILY DWELLINGS                    ","1",7457,28,,"A5","58-48 207TH   STREET                     ","            ",11364,1,0,1,2500,960,1950,1,"A5",580000,"2015-05-29"
4,"BEECHHURST               ","01  ONE FAMILY DWELLINGS                    ","1",4555,150,,"A2","157-44 9 AVENUE                          ","            ",11357,1,0,1,4000,574,1930,1,"A2",10,"2015-08-17"
4,"BEECHHURST               ","01  ONE FAMILY DWELLINGS                    ","1",4592,123,,"A2","162-19 12TH   ROAD                       ","            ",11357,1,0,1,4000,925,1950,1,"A2",700000,"2015-08-12"
4,"BELLE HARBOR             ","22  STORE BUILDINGS                         ","4",16210,42,,"K1","128-18 NEWPORT AVENUE                    ","            ",11694,1,1,1,10000,910,1925,4,"K1",998000,"2015-11-19"
4,"BELLEROSE                ","01  ONE FAMILY DWELLINGS                    ","1",7958,44,,"A2","85-10 241ST STREET                       ","            ",11426,1,0,1,3880,576,1940,1,"A2",430000,"2015-08-13"
4,"BELLEROSE                ","01  ONE FAMILY DWELLINGS                    ","1",7962,33,,"A2","241-05 85TH   ROAD                       ","            ",11426,1,0,1,3705,576,1940,1,"A2",430000,"2015-07-09"
4,"BELLEROSE                ","01  ONE FAMILY DWELLINGS                    ","1",7964,68,,"A2","241-50 86TH   AVENUE                     ","            ",11426,1,0,1,3368,801,1945,1,"A2",400000,"2015-09-14"
4,"BELLEROSE                ","01  ONE FAMILY DWELLINGS                    ","1",8001,13,,"A5","93-27 239TH   STREET                     ","            ",11426,1,0,1,1320,960,1950,1,"A5",410000,"2016-02-05"
4,"BELLEROSE                ","01  ONE FAMILY DWELLINGS                    ","1",8600,57,,"A2","84-21 246TH STREET                       ","            ",11426,1,0,1,4000,900,1940,1,"A2",600000,"2015-10-01"
4,"BELLEROSE                ","01  ONE FAMILY DWELLINGS                    ","1",8600,57,,"A2","84-21 246TH   STREET                     ","            ",11426,1,0,1,4000,900,1940,1,"A2",395000,"2015-05-14"
4,"BELLEROSE                ","01  ONE FAMILY DWELLINGS                    ","1",8602,59,,"A2","84-45 248TH   STREET                     ","            ",11426,1,0,1,4000,1000,1945,1,"A2",615000,"2015-10-27"
4,"BELLEROSE                ","01  ONE FAMILY DWELLINGS                    ","1",8605,115,,"A2","84-40 252ND ST                           ","            ",11426,1,0,1,4000,840,1945,1,"A2",515000,"2015-09-30"
4,"BELLEROSE                ","01  ONE FAMILY DWELLINGS                    ","1",8605,121,,"A2","8452 252ND                               ","            ",11426,1,0,1,4000,828,1945,1,"A2",582000,"2016-03-23"
4,"BELLEROSE                ","01  ONE FAMILY DWELLINGS                    ","1",8613,19,,"A0","246-38 85TH   ROAD                       ","            ",11426,1,0,1,4646,876,1945,1,"A0",354900,"2015-07-30"
4,"BELLEROSE                ","01  ONE FAMILY DWELLINGS                    ","1",8613,30,,"A0","85-44 247TH   STREET                     ","            ",11426,1,0,1,4000,876,1945,1,"A0",390000,"2015-08-05"
4,"BELLEROSE                ","01  ONE FAMILY DWELLINGS                    ","1",8614,66,,"A0","85-04 247TH   STREET                     ","            ",11426,1,0,1,4040,888,1945,1,"A0",605000,"2015-11-04"
4,"BELLEROSE                ","01  ONE FAMILY DWELLINGS                    ","1",8618,6,,"A2","85-35 250TH   STREET                     ","            ",11426,1,0,1,4800,943,1945,1,"A2",465000,"2015-08-17"
4,"BELLEROSE                ","01  ONE FAMILY DWELLINGS                    ","1",8620,12,,"A2","85-35 252ND   STREET                     ","            ",11426,1,0,1,4000,845,1945,1,"A2",455000,"2015-05-21"
4,"BELLEROSE                ","01  ONE FAMILY DWELLINGS                    ","1",8628,51,,"A5","86-01 COMMONWEALTH BLVD                  ","            ",11426,1,0,1,2679,896,1960,1,"A5",399000,"2016-02-09"
4,"BELLEROSE                ","01  ONE FAMILY DWELLINGS                    ","1",8639,35,,"A5","247-40 87TH   DRIVE                      ","            ",11426,1,0,1,2500,896,1940,1,"A5",420000,"2016-03-08"
4,"BELLEROSE                ","01  ONE FAMILY DWELLINGS                    ","1",8642,22,,"A1","249-10 87TH AVE                          ","            ",11426,1,0,1,3200,960,1940,1,"A1",570000,"2016-02-29"
4,"BELLEROSE                ","01  ONE FAMILY DWELLINGS                    ","1",8647,41,,"A5","87-36 LITTLE NECK PARKWAY                ","            ",11001,1,0,1,3700,896,1950,1,"A5",425000,"2015-11-03"
4,"BELLEROSE                ","22  STORE BUILDINGS                         ","4",8662,40,,"K1","247-61 JAMAICA AVENUE                    ","            ",11426,0,1,1,2480,970,1935,4,"K1",310000,"2016-01-13"
4,"BRIARWOOD                ","01  ONE FAMILY DWELLINGS                    ","1",9739,143,,"A1","14345 HOOVER                             ","            ",11435,1,0,1,4000,877,1940,1,"A1",450000,"2015-12-11"
4,"BRIARWOOD                ","01  ONE FAMILY DWELLINGS                    ","1",9739,154,,"A0","143-25 HOOVER AVENUE                     ","            ",11435,1,0,1,4408,813,1940,1,"A1",550000,"2015-06-29"
4,"BROAD CHANNEL            ","01  ONE FAMILY DWELLINGS                    ","1",15306,2,,"A2","431 CROSS BAY BLVD                       ","            ",11693,1,0,1,5280,810,1924,1,"A2",328600,"2016-02-18"
4,"BROAD CHANNEL            ","01  ONE FAMILY DWELLINGS                    ","1",15308,43,,"A1","719 SHAD CREEK ROAD                      ","            ",11693,1,0,1,3083,999,1930,1,"A1",560029,"2015-11-23"
4,"BROAD CHANNEL            ","01  ONE FAMILY DWELLINGS                    ","1",15316,4,,"A2","50 WEST 11TH ROAD                        ","            ",11693,1,0,1,2500,767,1920,1,"A2",90000,"2015-06-02"
4,"BROAD CHANNEL            ","01  ONE FAMILY DWELLINGS                    ","1",15317,51,,"A2","13 WEST 13TH   ROAD                      ","            ",11693,1,0,1,2500,819,1920,1,"A2",155000,"2015-06-25"
4,"BROAD CHANNEL            ","01  ONE FAMILY DWELLINGS                    ","1",15317,63,,"A2","31 WEST 13TH ROAD                        ","            ",11693,1,0,1,2500,934,1925,1,"A2",210000,"2015-07-17"
4,"BROAD CHANNEL            ","01  ONE FAMILY DWELLINGS                    ","1",15318,20,,"A2","26 WEST 13TH ROAD                        ","            ",11693,1,0,1,2500,654,1910,1,"A2",130000,"2015-06-03"
4,"BROAD CHANNEL            ","01  ONE FAMILY DWELLINGS                    ","1",15322,20,,"A2","40 WEST 17TH ROAD                        ","            ",11693,1,0,1,2500,912,1930,1,"A2",360000,"2016-04-04"
4,"BROAD CHANNEL            ","01  ONE FAMILY DWELLINGS                    ","1",15400,91,,"A2","406 CROSS BAY BLVD                       ","            ",11693,1,0,1,2704,928,1920,1,"A2",310000,"2015-11-13"
4,"BROAD CHANNEL            ","01  ONE FAMILY DWELLINGS                    ","1",15452,26,,"A2","9 NOEL ROAD                              ","            ",11693,1,0,1,2078,813,1925,1,"A2",137212,"2015-11-04"
4,"BROAD CHANNEL            ","01  ONE FAMILY DWELLINGS                    ","1",15455,26,,"A2","107 NOEL ROAD                            ","            ",11693,1,0,1,2500,990,1950,1,"A2",190778,"2016-01-08"
4,"BROAD CHANNEL            ","01  ONE FAMILY DWELLINGS                    ","1",15460,19,,"A2","811 CHURCH ROAD                          ","            ",11693,1,0,1,2500,850,1935,1,"A2",250000,"2016-04-20"
4,"CAMBRIA HEIGHTS          ","01  ONE FAMILY DWELLINGS                    ","1",11280,5,,"A1","216-15 115TH ROAD                        ","            ",11411,1,0,1,2500,992,1925,1,"A1",350000,"2016-03-10"
4,"CAMBRIA HEIGHTS          ","01  ONE FAMILY DWELLINGS                    ","1",11280,30,,"A5","216-13 115TH   TERRACE                   ","            ",11411,1,0,1,1344,864,1940,1,"A5",300000,"2015-10-09"
4,"CAMBRIA HEIGHTS          ","01  ONE FAMILY DWELLINGS                    ","1",11280,56,,"A5","216-20 115TH   COURT                     ","            ",11411,1,0,1,960,864,1940,1,"A5",339000,"2015-08-07"
4,"CAMBRIA HEIGHTS          ","01  ONE FAMILY DWELLINGS                    ","1",11280,64,,"A5","216-11 115TH   COURT                     ","            ",11411,1,0,1,1328,864,1940,1,"A5",305000,"2015-06-08"
4,"CAMBRIA HEIGHTS          ","01  ONE FAMILY DWELLINGS                    ","1",11280,67,,"A5","216-17 115TH   COURT                     ","            ",11411,1,0,1,1024,864,1940,1,"A5",150000,"2016-04-04"
4,"CAMBRIA HEIGHTS          ","01  ONE FAMILY DWELLINGS                    ","1",11280,69,,"A5","216-21 115TH COURT                       ","            ",11411,1,0,1,1008,864,1940,1,"A5",1,"2015-05-18"
4,"CAMBRIA HEIGHTS          ","01  ONE FAMILY DWELLINGS                    ","1",11280,75,,"A5","216-10 115TH   AVENUE                    ","            ",11411,1,0,1,1355,992,1940,1,"A5",290000,"2015-08-19"
4,"CAMBRIA HEIGHTS          ","01  ONE FAMILY DWELLINGS                    ","1",11284,47,,"A2","115-22 221ST STREET                      ","            ",11411,1,0,1,3800,816,1945,1,"A2",360000,"2015-08-25"
4,"CAMBRIA HEIGHTS          ","01  ONE FAMILY DWELLINGS                    ","1",11290,50,,"A5","115-30 227 STREET                        ","            ",11411,1,0,1,2600,960,1940,1,"A5",197500,"2015-11-19"
4,"CAMBRIA HEIGHTS          ","01  ONE FAMILY DWELLINGS                    ","1",12770,65,,"A2","118-31 233RD   STREET                    ","            ",11411,1,0,1,4000,1000,1945,1,"A2",427500,"2015-12-22"
4,"CAMBRIA HEIGHTS          ","01  ONE FAMILY DWELLINGS                    ","1",12796,15,,"A2","119-22 237TH   STREET                    ","            ",11411,1,0,1,4000,804,1950,1,"A2",290000,"2015-12-22"
4,"CAMBRIA HEIGHTS          ","01  ONE FAMILY DWELLINGS                    ","1",12815,37,,"A2","120-22 231 STREET                        ","            ",11411,1,0,1,4000,916,1945,1,"A2",469000,"2015-09-25"
4,"CAMBRIA HEIGHTS          ","01  ONE FAMILY DWELLINGS                    ","1",12819,29,,"A2","120-02 235 STREET                        ","            ",11411,1,0,1,5000,912,1945,1,"A2",460000,"2015-08-14"
4,"COLLEGE POINT            ","01  ONE FAMILY DWELLINGS                    ","1",3948,19,,"A2","124-19 6TH AVENUE                        ","            ",11356,1,0,1,2500,816,1920,1,"A2",540000,"2015-11-18"
4,"COLLEGE POINT            ","01  ONE FAMILY DWELLINGS                    ","1",3949,49,,"A2","6-12 125TH   STREET                      ","            ",11356,1,0,1,4000,945,1920,1,"A2",638000,"2015-08-12"
4,"COLLEGE POINT            ","01  ONE FAMILY DWELLINGS                    ","1",3975,23,,"A9","127-19 9TH AVENUE                        ","            ",11356,1,0,1,2100,896,1935,1,"A9",520000,"2015-07-02"
4,"COLLEGE POINT            ","01  ONE FAMILY DWELLINGS                    ","1",3979,27,,"A9","9-12 130 STREET                          ","            ",11356,1,0,1,2500,923,1920,1,"A9",385000,"2015-11-18"
4,"COLLEGE POINT            ","01  ONE FAMILY DWELLINGS                    ","1",4022,117,,"A5","10-26 116TH   STREET                     ","            ",11356,1,0,1,1600,960,1945,1,"A5",480000,"2016-01-15"
4,"COLLEGE POINT            ","01  ONE FAMILY DWELLINGS                    ","1",4023,72,,"A5","10-09 116TH   STREET                     ","            ",11356,1,0,1,1800,960,1950,1,"A5",435000,"2016-02-16"
4,"COLLEGE POINT            ","01  ONE FAMILY DWELLINGS                    ","1",4041,46,,"A2","12-53 120TH   STREET                     ","            ",11356,1,0,1,4000,763,1960,1,"A2",1181170,"2015-07-24"
4,"COLLEGE POINT            ","01  ONE FAMILY DWELLINGS                    ","1",4061,17,,"A1","110-42 15TH AVENUE                       ","            ",11356,1,0,1,2500,900,1930,1,"A1",400000,"2015-12-03"
4,"COLLEGE POINT            ","01  ONE FAMILY DWELLINGS                    ","1",4106,18,,"A2","14-24 139TH STREET                       ","            ",11357,1,0,1,5000,978,1945,1,"A2",725000,"2016-03-15"
4,"COLLEGE POINT            ","01  ONE FAMILY DWELLINGS                    ","1",4268,28,,"A2","25-37 126TH   STREET                     ","            ",11354,1,0,1,2593,845,1901,1,"A2",595000,"2016-04-21"
4,"COLLEGE POINT            ","01  ONE FAMILY DWELLINGS                    ","1",4315,56,,"A2","28-14 119TH   STREET                     ","            ",11354,1,0,1,2125,720,1920,1,"A2",425000,"2015-10-08"
4,"COLLEGE POINT            ","02  TWO FAMILY DWELLINGS                    ","1",4204,12,,"B2","2219 128TH ST                            ","            ",11356,2,0,2,2500,1000,1930,1,"B2",540000,"2015-10-16"
4,"COLLEGE POINT            ","22  STORE BUILDINGS                         ","4",4128,9,,"K1","18-27 COLLEGE POINT BLVD                 ","            ",11356,0,1,1,2500,870,1929,4,"K1",800000,"2015-10-21"
4,"CORONA                   ","01  ONE FAMILY DWELLINGS                    ","1",1999,58,,"A2","108-23 44 AVENUE                         ","            ",11368,1,0,1,2500,539,1910,1,"A2",450000,"2016-01-29"
4,"CORONA                   ","02  TWO FAMILY DWELLINGS                    ","1",1939,45,,"B9","55-04 102ND STREET                       ","            ",11368,2,0,2,2500,900,1920,1,"B9",870000,"2016-02-10"
4,"CORONA                   ","02  TWO FAMILY DWELLINGS                    ","1",1939,45,,"B9","55-04 102ND   STREET                     ","            ",11368,2,0,2,2500,900,1920,1,"B9",495000,"2015-10-30"
4,"CORONA                   ","22  STORE BUILDINGS                         ","4",1960,51,,"K1","55-02 108 STREET                         ","            ",11368,0,1,1,286,276,1931,4,"K1",270000,"2016-01-27"
4,"EAST ELMHURST            ","01  ONE FAMILY DWELLINGS                    ","1",1105,32,,"A2","94-21 25TH   AVENUE                      ","            ",11369,1,0,1,4500,992,1935,1,"A2",500000,"2015-06-24"
4,"EAST ELMHURST            ","01  ONE FAMILY DWELLINGS                    ","1",1371,35,,"A2","25-40 98TH   STREET                      ","            ",11369,1,0,1,2454,924,1935,1,"A2",485000,"2015-12-04"
4,"ELMHURST                 ","01  ONE FAMILY DWELLINGS                    ","1",2466,57,,"A5","72-79 CALAMUS AVENUE                     ","            ",11377,1,0,1,1977,847,1945,1,"A5",608000,"2015-12-04"
4,"ELMHURST                 ","01  ONE FAMILY DWELLINGS                    ","1",2467,314,,"A2","51-43 74TH   STREET                      ","            ",11373,1,0,1,1680,864,1940,1,"A2",40000,"2015-05-09"
4,"ELMHURST                 ","01  ONE FAMILY DWELLINGS                    ","1",2467,325,,"A2","51-23 74TH STREET                        ","            ",11373,1,0,1,2005,864,1940,1,"A2",615000,"2015-07-31"
4,"ELMHURST                 ","01  ONE FAMILY DWELLINGS                    ","1",2468,6,,"A5","51-08 IRELAND STREET                     ","            ",11373,1,0,1,2142,930,1940,1,"A5",635000,"2015-10-29"
4,"ELMHURST                 ","01  ONE FAMILY DWELLINGS                    ","1",2469,48,,"A2","51-11 IRELAND STREET                     ","            ",11373,1,0,1,2142,938,1940,1,"A2",670000,"2015-12-18"
4,"ELMHURST                 ","01  ONE FAMILY DWELLINGS                    ","1",2469,49,,"A2","51-09 IRELAND STREET                     ","            ",11373,1,0,1,2142,938,1940,1,"A2",665000,"2016-01-06"
4,"ELMHURST                 ","01  ONE FAMILY DWELLINGS                    ","1",2471,58,,"A2","51-65 GORSLINE STREET                    ","            ",11373,1,0,1,2142,918,1940,1,"A2",500000,"2015-07-13"
4,"ELMHURST                 ","01  ONE FAMILY DWELLINGS                    ","1",2471,60,,"A5","51-63 GORSLINE STREET                    ","            ",11373,1,0,1,2700,918,1940,1,"A5",500000,"2016-02-05"
4,"ELMHURST                 ","01  ONE FAMILY DWELLINGS                    ","1",2803,75,,"A1","73-23 57TH AVENUE                        ","            ",11378,1,0,1,2068,984,1925,1,"A1",480000,"2015-12-18"
4,"ELMHURST                 ","01  ONE FAMILY DWELLINGS                    ","1",2895,3,,"A5","84-24 57TH   AVENUE                      ","            ",11373,1,0,1,2000,860,1950,1,"A5",453000,"2015-06-23"
4,"ELMHURST                 ","01  ONE FAMILY DWELLINGS                    ","1",2895,26,,"A5","84-33 57TH   ROAD                        ","            ",11373,1,0,1,2000,860,1945,1,"A5",615000,"2015-09-22"
4,"ELMHURST                 ","01  ONE FAMILY DWELLINGS                    ","1",2906,4,,"A2","82-10 54TH AVENUE                        ","            ",11373,1,0,1,2500,995,1920,1,"A2",660000,"2015-12-16"
4,"ELMHURST                 ","01  ONE FAMILY DWELLINGS                    ","1",2907,51,,"A5","80-17 57TH   AVENUE                      ","            ",11373,1,0,1,2200,924,1950,1,"A5",660000,"2015-10-15"
4,"ELMHURST                 ","02  TWO FAMILY DWELLINGS                    ","1",2469,46,,"B3","51-15 IRELAND STREET                     ","            ",11373,2,0,2,2142,938,1940,1,"B3",320000,"2015-07-23"
4,"ELMHURST                 ","02  TWO FAMILY DWELLINGS                    ","1",2470,12,,"B3","51-10 GORSLINE STREET                    ","            ",11373,2,0,2,3134,938,1940,1,"B3",317000,"2015-07-23"
4,"ELMHURST                 ","03  THREE FAMILY DWELLINGS                  ","1",2907,24,,"C0","54-44 82ND   STREET                      ","            ",11373,3,0,3,2500,540,1930,1,"C0",750000,"2015-05-28"
4,"ELMHURST                 ","29  COMMERCIAL GARAGES                      ","4",1536,101,,"G5","77-33 QUEENS BOULEVARD                   ","            ",11373,0,1,1,12100,794,1973,4,"G5",1973895,"2016-02-22"
4,"FAR ROCKAWAY             ","01  ONE FAMILY DWELLINGS                    ","1",15614,75,,"A5","332 BEACH 13TH STREET                    ","            ",11691,1,0,1,2600,896,1960,1,"A5",285000,"2015-09-10"
4,"FAR ROCKAWAY             ","01  ONE FAMILY DWELLINGS                    ","1",15615,105,,"A5","338 BEACH 12 STREET                      ","            ",11691,1,0,1,2250,928,1935,1,"A5",380000,"2016-02-11"
